Inserted List,ORF Name,Gene Name,UniProt_Acc,Description
YNR030W,YNR030W,ALG12,P53730,"Alpha-1,6-mannosyltransferase localized to the ER; responsible for the addition of the alpha-1,6 mannose to dolichol-linked Man7GlcNAc2, acts in the dolichol pathway for N-glycosylation"
YGL047W,YGL047W,ALG13,P53178,"Catalytic component of UDP-GlcNAc transferase, required for the second step of dolichyl-linked oligosaccharide synthesis; anchored to the ER membrane via interaction with Alg14p; similar to bacterial and human glycosyltransferases"
YBR070C,YBR070C,ALG14,P38242,Component of UDP-GlcNAc transferase required for the second step of dolichyl-linked oligosaccharide synthesis; anchors the catalytic subunit Alg13p to the ER membrane; similar to bacterial and human glycosyltransferases
YGL065C,YGL065C,ALG2,P43636,Mannosyltransferase that catalyzes two consecutive steps in the N-linked glycosylation pathway; alg2 mutants exhibit temperature-sensitive growth and abnormal accumulation of the lipid-linked oligosaccharide Man2GlcNAc2-PP-Dol
YBL082C,YBL082C,ALG3,P38179,"Dolichol-P-Man dependent alpha(1-3) mannosyltransferase, involved in the synthesis of dolichol-linked oligosaccharide donor for N-linked glycosylation of proteins"
YPL227C,YPL227C,ALG5,P40350,"UDP-glucose:dolichyl-phosphate glucosyltransferase, involved in asparagine-linked glycosylation in the endoplasmic reticulum"
YOR002W,YOR002W,ALG6,Q12001,"Alpha 1,3 glucosyltransferase, involved in transfer of oligosaccharides from dolichyl pyrophosphate to asparagine residues of proteins during N-linked protein glycosylation; mutations in human ortholog are associated with disease"
YBR243C,YBR243C,ALG7,P07286,"UDP-N-acetyl-glucosamine-1-P transferase, transfers Glc-Nac-P from UDP-GlcNac to Dol-P in the ER in the first step of the dolichol pathway of protein asparagine-linked glycosylation; inhibited by tunicamycin"
YOR067C,YOR067C,ALG8,P40351,"Glucosyl transferase, involved in N-linked glycosylation; adds glucose to the dolichol-linked oligosaccharide precursor prior to transfer to protein during lipid-linked oligosaccharide biosynthesis; similar to Alg6p"
YNL219C,YNL219C,ALG9,P53868,"Mannosyltransferase, involved in N-linked glycosylation; catalyzes the transfer of mannose from Dol-P-Man to lipid-linked oligosaccharides; mutation of the human ortholog causes type 1 congenital disorders of glycosylation"
YGL021W,YGL021W,ALK1,P43633,Protein kinase; accumulation and phosphorylation are periodic during the cell cycle; phosphorylated in response to DNA damage; contains characteristic motifs for degradation via the APC pathway; similar to Alk2p and to mammalian haspins
YBL009W,YBL009W,ALK2,P32789,Protein kinase; accumulation and phosphorylation are periodic during the cell cycle; phosphorylated in response to DNA damage; contains characteristic motifs for degradation via the APC pathway; similar to Alk1p and to mammalian haspins
YML086C,YML086C,ALO1,P54783,"D-Arabinono-1,4-lactone oxidase, catalyzes the final step in biosynthesis of dehydro-D-arabinono-1,4-lactone, which is protective against oxidative stress"
YNL270C,YNL270C,ALP1,P38971,Arginine transporter; expression is normally very low and it is unclear what conditions would induce significant expression
YOL130W,YOL130W,ALR1,Q08269,"Plasma membrane Mg(2+) transporter, expression and turnover are regulated by Mg(2+) concentration; overexpression confers increased tolerance to Al(3+) and Ga(3+) ions"
YFL050C,YFL050C,ALR2,P43553,Probable Mg(2+) transporter; overexpression confers increased tolerance to Al(3+) and Ga(3+) ions; plays a role in regulating Ty1 transposition
YLR089C,YLR089C,ALT1,P52893,"Alanine transaminase (glutamic pyruvic transaminase); involved in alanine biosynthetic and catabolic processes; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies"
YDR111C,YDR111C,ALT2,P52892,Putative alanine transaminase (glutamic pyruvic transaminase)
YKR021W,YKR021W,ALY1,P36117,Alpha arrestin that controls nutrient-mediated intracellular sorting of permease Gap1p; interacts with AP-1 subunit Apl4p; may regulate endocytosis of plasma membrane proteins by recruiting ubiquitin ligase Rsp5p to plasma membrane targets
YJL084C,YJL084C,ALY2,P47029,Alpha arrestin that controls nutrient-mediated intracellular sorting of permease Gap1p; interacts with AP-1 subunit Apl4p; phosphorylated by Npr1p and also by cyclin-CDK complex Pcl7p-Pho85p; promotes endocytosis of plasma membrane proteins
YGR225W,YGR225W,AMA1,P50082,Activator of meiotic anaphase promoting complex (APC/C); Cdc20p family member; required for initiation of spore wall assembly; required for Clb1p degradation during meiosis
YML035C,YML035C,AMD1,P15274,"AMP deaminase, tetrameric enzyme that catalyzes the deamination of AMP to form IMP and ammonia; may be involved in regulation of intracellular adenine nucleotide pools"
YDR242W,YDR242W,AMD2,P22580,Putative amidase
YBR211C,YBR211C,AME1,P38313,"Essential kinetochore protein associated with microtubules and spindle pole bodies; component of the kinetochore sub-complex COMA (Ctf19p, Okp1p, Mcm21p, Ame1p); involved in spindle checkpoint maintenance"
YBR158W,YBR158W,AMN1,P38285,"Protein required for daughter cell separation, multiple mitotic checkpoints, and chromosome stability; contains 12 degenerate leucine-rich repeat motifs; expression is induced by the Mitotic Exit Network (MEN)"
YGL156W,YGL156W,AMS1,P22855,"Vacuolar alpha mannosidase, involved in free oligosaccharide (fOS) degradation; delivered to the vacuole in a novel pathway separate from the secretory pathway"
YJR047C,YJR047C,ANB1,P19211,"Translation elongation factor eIF-5A, previously thought to function in translation initiation; similar to and functionally redundant with Hyp2p; undergoes an essential hypusination modification; expressed under anaerobic conditions"
YEL036C,YEL036C,ANP1,P32629,"Subunit of the alpha-1,6 mannosyltransferase complex; type II membrane protein; has a role in retention of glycosyltransferases in the Golgi; involved in osmotic sensitivity and resistance to aminonitrophenyl propanediol"
YKL047W,YKL047W,ANR2,P36090,"Putative protein of unknown function, predicted to be palmitoylated; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm"
YHR126C,YHR126C,ANS1,P38832,Putative protein of unknown function; transcription dependent upon Azf1p
YPR128C,YPR128C,ANT1,Q06497,Peroxisomal adenine nucleotide transporter; involved in beta-oxidation of medium-chain fatty acid; required for peroxisome proliferation
YPR180W,YPR180W,AOS1,Q06624,"Subunit of a heterodimeric nuclear SUMO activating enzyme (E1) with Uba2p; activates Smt3p (SUMO) before its conjugation to proteins (sumoylation), which may play a role in protein targeting; essential for viability"
YCL050C,YCL050C,APA1,P16550,"Diadenosine 5',5''-P1,P4-tetraphosphate phosphorylase I (AP4A phosphorylase), involved in catabolism of bis(5'-nucleosidyl) tetraphosphates; has similarity to Apa2p"
YDR530C,YDR530C,APA2,P22108,"Diadenosine 5',5''-P1,P4-tetraphosphate phosphorylase II (AP4A phosphorylase), involved in catabolism of bis(5'-nucleosidyl) tetraphosphates; has similarity to Apa1p"
YNL172W,YNL172W,APC1,P53886,"Largest subunit of the Anaphase-Promoting Complex/Cyclosome (APC/C), which is a ubiquitin-protein ligase required for degradation of anaphase inhibitors, including mitotic cyclins, during the metaphase/anaphase transition; component of the platform domain of the APC/C, based on structural analysis"
YDL008W,YDL008W,APC11,Q12157,"Catalytic core subunit of the Anaphase-Promoting Complex/Cyclosome (APC/C), which is a ubiquitin-protein ligase required for degradation of anaphase inhibitors, including mitotic cyclins, during the metaphase/anaphase transition; contains a RING-H2 domain that is required for activity"
YLR127C,YLR127C,APC2,Q12440,"Subunit of the Anaphase-Promoting Complex/Cyclosome (APC/C), which is a ubiquitin-protein ligase required for degradation of anaphase inhibitors, including mitotic cyclins, during the metaphase/anaphase transition; component of the catalytic core of the APC/C; has similarity to cullin Cdc53p"
YDR118W,YDR118W,APC4,Q04601,"Subunit of the Anaphase-Promoting Complex/Cyclosome (APC/C), which is a ubiquitin-protein ligase required for degradation of anaphase inhibitors, including mitotic cyclins, during the metaphase/anaphase transition; component of the platform domain of the APC/C, based on structural analysis"
YOR249C,YOR249C,APC5,Q08683,"Subunit of the Anaphase-Promoting Complex/Cyclosome (APC/C), which is a ubiquitin-protein ligase required for degradation of anaphase inhibitors, including mitotic cyclins, during the metaphase/anaphase transition; component of the platform domain of the APC/C, based on structural analysis"
YLR102C,YLR102C,APC9,Q12107,"Subunit of the Anaphase-Promoting Complex/Cyclosome (APC/C), which is a ubiquitin-protein ligase required for degradation of anaphase inhibitors, including mitotic cyclins, during the metaphase/anaphase transition"
YBR151W,YBR151W,APD1,P38281,"Protein of unknown function, required for normal localization of actin patches and for normal tolerance of sodium ions and hydrogen peroxide; localizes to both cytoplasm and nucleus"
YKL103C,YKL103C,APE1,P14904,Vacuolar aminopeptidase yscI; zinc metalloproteinase that belongs to the peptidase family M18; often used as a marker protein in studies of autophagy and cytosol to vacuole targeting (CVT) pathway
YKL157W,YKL157W,APE2,P32454,Aminopeptidase yscII; may have a role in obtaining leucine from dipeptide substrates; sequence coordinates have changed since RT-PCR analysis showed that the adjacent ORF YKL158W comprises the 5' exon of APE2/YKL157W
YBR286W,YBR286W,APE3,P37302,"Vacuolar aminopeptidase Y, processed to mature form by Prb1p"
YHR113W,YHR113W,APE4,P38821,Cytoplasmic aspartyl aminopeptidase that may also function in the vacuole; CVT pathway cargo protein; cleaves unblocked N-terminal acidic amino acids from peptide substrates; forms a 12-subunit homo-oligomer; M18 metalloprotease family
YDR525W,YDR525W,API2,Q04413,"Dubious open reading frame, unlikely to encode a protein; not conserved in closely related Saccharomyces species; 26% of ORF overlaps the dubious ORF YDR524C-A; insertion mutation in a cdc34-2 mutant background causes altered bud morphology"
YNL077W,YNL077W,APJ1,P53940,"Putative chaperone of the HSP40 (DNAJ) family; overexpression interferes with propagation of the [Psi+] prion; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies"
YJR005W,YJR005W,APL1,P27351,"Beta-adaptin, large subunit of the clathrin associated protein complex (AP-2); involved in vesicle mediated transport; similar to mammalian beta-chain of the clathrin associated protein complex"
YKL135C,YKL135C,APL2,P36000,"Beta-adaptin, large subunit of the clathrin-associated protein (AP-1) complex; binds clathrin; involved in clathrin-dependent Golgi protein sorting"
YBL037W,YBL037W,APL3,P38065,"Alpha-adaptin, large subunit of the clathrin associated protein complex (AP-2); involved in vesicle mediated transport"
YPR029C,YPR029C,APL4,Q12028,"Gamma-adaptin, large subunit of the clathrin-associated protein (AP-1) complex; binds clathrin; involved in vesicle mediated transport"
YPL195W,YPL195W,APL5,Q08951,"Delta adaptin-like subunit of the clathrin associated protein complex (AP-3); functions in transport of alkaline phosphatase to the vacuole via the alternate pathway, suppressor of loss of casein kinase 1 function"
YGR261C,YGR261C,APL6,P46682,Beta3-like subunit of the yeast AP-3 complex; functions in transport of alkaline phosphatase to the vacuole via the alternate pathway; exists in both cytosolic and peripherally associated membrane-bound pools
YPL259C,YPL259C,APM1,Q00776,Mu1-like medium subunit of the clathrin-associated protein complex (AP-1); binds clathrin; involved in clathrin-dependent Golgi protein sorting
YHL019C,YHL019C,APM2,P38700,"Protein of unknown function, homologous to the medium chain of mammalian clathrin-associated protein complex; involved in vesicular transport"
YBR288C,YBR288C,APM3,P38153,Mu3-like subunit of the clathrin associated protein complex (AP-3); functions in transport of alkaline phosphatase to the vacuole via the alternate pathway
YOL062C,YOL062C,APM4,Q99186,Mu2-like subunit of the clathrin associated protein complex (AP-2); involved in vesicle transport
YKL114C,YKL114C,APN1,P22936,"Major apurinic/apyrimidinic endonuclease, 3'-repair diesterase involved in repair of DNA damage by oxidation and alkylating agents; also functions as a 3'-5' exonuclease to repair 7,8-dihydro-8-oxodeoxyguanosine"
YBL019W,YBL019W,APN2,P38207,Class II abasic (AP) endonuclease involved in repair of DNA damage; homolog of human HAP1 and E. coli exoIII
YNL094W,YNL094W,APP1,P53933,"Protein of unknown function, interacts with Rvs161p and Rvs167p; computational analysis of protein-protein interactions in large-scale studies suggests a possible role in actin filament organization"
